step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
89,20306,178,0.019187723176684622,0.5,0.5,0.02227674855438885,0.5,0.5,,,,,,
90,20532,180,0.02354087481143876,0.5,0.5,,,,,,,,,
91,20774,182,0.018760863673925758,0.5,0.5,,,,,,,,,
92,21016,184,0.018115522003460668,0.5,0.5,,,,,,,,,
93,21242,186,0.015366511737427478,1.0,1.0,,,,,,,,,
94,21484,188,0.02133074028115013,0.0,0.0,,,,,,,,,
95,21726,190,0.018811803670016492,0.5,0.5,,,,,,,,,
96,21952,192,0.021210941809976753,0.0,0.0,,,,,,,,,
97,22178,194,0.022145700942288023,0.5,0.5,0.018550189398847665,0.5,0.5,,,,,,
98,22404,196,0.01963948490975396,1.0,1.0,,,,,,,,,
99,22662,198,0.019648721000358284,0.5,0.5,,,,,,,,,
100,22872,200,0.01560318936734886,1.0,1.0,,,,,,,,,
101,23098,202,0.019841525729830056,0.5,0.5,,,,,,,,,
102,23324,204,0.020921103780776572,0.5,0.5,,,,,,,,,
103,23566,206,0.02449126781217686,0.0,0.0,,,,,,,,,
104,23792,208,0.019106944539297094,1.0,1.0,,,,,,,,,
105,24018,210,0.018633688943312122,1.0,1.0,0.020036233857936743,0.5,0.5,,,,,,
106,24244,212,0.021262764703587872,0.0,0.0,,,,,,,,,
107,24486,214,0.017879684608510853,1.0,1.0,,,,,,,,,
108,24728,216,0.015744086421455337,0.5,0.5,,,,,,,,,
109,24970,218,0.02156149932571771,0.0,0.0,,,,,,,,,
110,25180,220,0.01807574878361172,1.0,1.0,,,,,,,,,
111,25406,222,0.022574620861194685,0.5,0.5,,,,,,,,,
112,25648,224,0.015978974169064988,0.0,0.0,,,,,,,,,
113,25874,226,0.01868947090228882,1.0,1.0,0.01917169465442052,0.5,0.5,,,,,,
114,26100,228,0.021207981726076425,0.5,0.5,,,,,,,,,
115,26326,230,0.02136678291573994,0.5,0.5,,,,,,,,,
116,26568,232,0.01919696292658691,0.0,0.0,,,,,,,,,
117,26794,234,0.02291956307639435,0.0,0.0,,,,,,,,,
118,27036,236,0.020703832676320155,0.5,0.5,,,,,,,,,
119,27262,238,0.017905394556831537,1.0,1.0,,,,,,,,,
120,27488,240,0.01949178537612927,0.5,0.5,,,,,,,,,
121,27730,242,0.022534378370385705,0.0,0.0,0.019332182460751395,1.0,1.0,,,,,,
122,27972,244,0.02062673668191888,1.0,1.0,,,,,,,,,
123,28214,246,0.01753921562345117,0.5,0.5,,,,,,,,,
124,28440,248,0.019889977653100074,0.0,0.0,,,,,,,,,
125,28650,250,0.015142238961735463,0.5,0.5,,,,,,,,,
126,28876,252,0.01877181285659584,0.5,0.5,,,,,,,,,
127,29070,254,0.016132518475567095,0.0,0.0,,,,,,,,,
128,29296,256,0.016165895959816164,0.5,0.5,,,,,,,,,
129,29522,258,0.018550699786755023,0.5,0.5,0.020511038572239248,0.5,0.5,,,,,,
130,29764,260,0.022475797404035883,0.0,0.0,,,,,,,,,
131,29974,262,0.018372087776735387,0.0,0.0,,,,,,,,,
132,30216,264,0.018741373909176552,0.0,0.0,,,,,,,,,
133,30442,266,0.01872179918273772,1.0,1.0,,,,,,,,,
134,30668,268,0.01363901959543336,0.5,0.5,,,,,,,,,
135,30878,270,0.021637865779402892,1.0,1.0,,,,,,,,,
136,31104,272,0.019057295238892942,1.0,1.0,,,,,,,,,
137,31330,274,0.018047452503883506,0.5,0.5,0.016401912824254624,0.5,0.5,,,,,,
138,31540,276,0.019793580246705657,0.0,0.0,,,,,,,,,
139,31766,278,0.015095387794863848,0.5,0.5,,,,,,,,,
140,31976,280,0.021415077617711498,0.5,0.5,,,,,,,,,
141,32202,282,0.01707766220685798,0.5,0.5,,,,,,,,,
142,32444,284,0.017647585666303256,0.5,0.5,,,,,,,,,
143,32686,286,0.017506126385736724,0.5,0.5,,,,,,,,,
144,32912,288,0.01345224060822128,0.5,0.5,,,,,,,,,
145,33138,290,0.022426919903465594,0.0,0.0,0.01974209006054166,0.5,0.5,,,,,,
146,33348,292,0.018524468674763008,1.0,1.0,,,,,,,,,
